Project	Link	Ages	Type	Fields	Lang.	Programming	Internet needed?	Requires installation	Supported OS	Hardware platforms	Teachers Train. Material	Classroom Materials	Classroom Management	Simulation	Registration needed?	Debug	Resources	
Arduino Education	https://www.arduino.cc/en/Main/Education	N.A.	A,R	Coding, Math, Science, English Language Arts, Social Studies, Art, …	en	Visual (Ardyblockly, S4A)2, Text (C/C++)	No	Yes (offline version)	Linux, Mac, Windows	Arduino(-based)	Yes2	13 - 172 (€)	Yes	No	Yes	No	http://www.happycode.com.br/	
Aseba	https://www.thymio.org/en:start	6+	A,R	Coding, Math, Science, English Language Arts, Social Studies, Art, …	en, fr, de, es, it, nl, zh	Visual (VLP, Blockly, Scratch), Text (Aseba)	No	Yes	Linux, Mac, Windows	Thymio	Yes1	1 - 61	No	Yes	No	Yes		
Blockly	https://developers.google.com/blockly/	4+	A		44+	Visual (Blockly)	Yes	Yes (Android, iOS)	Android, iOS, Web	"Cubelets, Cue
Dash, Dot, Ozobot Bit 2, Ozobot Evo, Thymio, Vex IQ"	No	No	No	No	No	No		
CREATE	https://www.finchrobot.com/software/create-lab-visual-programmer	6+	A,R	Coding, Math, Science, English Language Arts, Social Studies, Art, …	en	Visual (Scratch, Snap	No	Yes	Linux, Mac, Windows	Finch	Yes	K - 12	No	No	No	No	http://scratched.gse.harvard.edu	
Edison	https://meetedison.com/	4+	A,R	Coding, Math, Science, English Language Arts, Social Studies, Art, …	en	Visual (EdBlocks), Hybrid (EdWare), Text (EdPy)	Yes	No	Web	Edison	Yes	3 - 7+	No	No	No	No		
Fischertechnik	https://www.fischertechnik.de/		A,R	Coding, Math, Science	de, en, fr, nl, es, pt	Visual (ROBO Pro, Brickly)	No	Yes	Android, iOS, Windows	Fischertechnik	Yes	2 - 12 (NC)	No	No	No	No		
LEGO Education	https://education.lego.com/	3+	A,R	Coding, Math, Science, English Language Arts, Social Studies, Art, …	zh, de, en, ja, ko, ru, ar, da, es, fr, no, nl, pt	Visual (EV3, WeDo)	No	Yes	Android, Chromebook, iOs, Mac, Windows	LEGO WeDO, LEGO Mindstorms	Yes1	1 - 81,2	No	Yes (build model only)	No	No		
MakeCode	https://makecode.com/	N.A.	A,R	STEAM	zh, de, en, fr, it, ja, ko, si, nl, no, sv	Visual (Blockly), Text (JavaScript)	Yes	Yes3	Web	micro:bit, circuit playground express, Chibi Chip, Grove Zero, Sparkfun Inventors Kit	Yes (micro:bit, Circuit Playground, minecraft)	6 - 8	No	Yes	No	No	Ardublockly	
Roberta	https://lab.open-roberta.org/	N.A.	A	Coding, Math, Science, English Language Arts, Social Studies, Art, …	cs, da, de, en, es, fi, fr, it, nl, pl, pt, ru, tr	Visual (NEPO)	Yes	No	Web	EV3, NXT, micro:bit, Bot'n Roll, NAO, BOB3, Calliope	No	No	No	Yes	No	No	http://robots4schools.ch/formations/	
Scratch	https://scratch.mit.edu/	8 - 16	A,R	STEAM	40+ (App)	Visual (Scratch)	No (offline version)	Yes (offline version)	Linux, Mac, Windows, Web	BrickPi, Finch, GoPiGo3, EV3, WeDo, mBot, Marty, Phiro, Thymio, Vex IQ Super Kit	Yes	K - 12 (NC)	Yes	Yes	Yes	No	"www.fischertechnik-elearning.com http://cfw.ftcommunity.de/ftcommunity-TXT/de/programming/brickly/"	
Tynker	https://www.tynker.com/	6+	A,R	Coding, Math, Science, English Language Arts, Social Studies, Art, …	en	Visual (blocks), Text (Javascript, Python, Swift)	Yes	No	Web	Parrot drones, LEGO WeDo, Sphero, Ollie	Yes (€)	K - 8 (€)	Yes (€)	Yes	Yes	N.A.		
Wonder	https://education.makewonder.com/	4+	R	STEAM	en, pt2	Visual (Blockly, Go, Path, Xylo,Wonder), Physical (Puzzlets)	No	Yes	Android, iOS	Dash & Dot	Yes	K - 5 (€)	No	No	Yes	